2025-10-18 21:02:24,820 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 21:05:05,634 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 21:05:43,875 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 21:08:04,852 | INFO | src.data_loader | Downloading AAPL from Yahoo Finance
2025-10-18 21:30:16,071 | INFO | __main__ | Starting backtest
2025-10-18 21:30:16,080 | INFO | src.data_loader | Downloading AAPL from Yahoo Finance
2025-10-18 21:47:09,406 | INFO | __main__ | Starting backtest
2025-10-18 21:47:09,431 | INFO | src.data_loader | Downloading AAPL from Yahoo Finance
2025-10-18 21:47:29,390 | INFO | __main__ | Starting backtest
2025-10-18 21:47:29,401 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 22:04:02,818 | INFO | __main__ | Starting backtest
2025-10-18 22:04:02,845 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 22:08:57,683 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:08:57,710 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 22:09:03,986 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:09:03,998 | INFO | src.data_loader | Downloading AAPL from Yahoo Finance
2025-10-18 22:18:05,930 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:18:05,939 | INFO | src.data_loader | Downloading AAPL from Yahoo Finance
2025-10-18 22:18:13,402 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:18:13,424 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 22:44:20,566 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:44:20,577 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 22:45:31,072 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:45:31,083 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 22:46:05,106 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:46:05,115 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-18 22:49:55,730 | INFO | __main__ | Starting backtest via CLI
2025-10-18 22:49:55,739 | INFO | src.data_loader | Downloading MSFT from Yahoo Finance
2025-10-19 16:16:44,860 | INFO | __main__ | Starting backtest via CLI
2025-10-19 16:16:44,861 | INFO | src.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 18:47:48,933 | INFO | __main__ | Starting backtest via CLI
2025-10-19 18:47:48,933 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 18:47:50,339 | WARNING | logos.data_loader | Could not write cache: Cannot save file into a non-existent directory: 'data/cache/equity'
2025-10-19 18:49:17,421 | INFO | __main__ | Starting backtest via CLI
2025-10-19 18:49:17,423 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 18:49:18,534 | WARNING | logos.data_loader | Could not write cache: Cannot save file into a non-existent directory: 'data/cache/equity'
2025-10-19 18:49:46,250 | INFO | __main__ | Starting backtest via CLI
2025-10-19 18:49:46,252 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 18:50:13,216 | INFO | __main__ | Starting backtest via CLI
2025-10-19 18:50:13,228 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 18:56:21,522 | INFO | __main__ | Starting backtest via CLI
2025-10-19 18:56:21,534 | INFO | logos.data_loader | Downloading MSFT [1d] from Yahoo Finance
2025-10-19 18:56:52,087 | INFO | __main__ | Starting backtest via CLI
2025-10-19 18:56:52,089 | INFO | logos.data_loader | Downloading TSLA [1d] from Yahoo Finance
2025-10-19 21:11:59,582 | INFO | __main__ | Starting backtest via CLI
2025-10-19 21:11:59,589 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-19 21:11:59,590 | INFO | logos.data_loader | Downloading DEMO [1d] from Yahoo Finance
2025-10-19 21:16:25,565 | INFO | __main__ | Starting backtest via CLI
2025-10-19 21:16:25,569 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-19 21:16:25,570 | INFO | logos.data_loader | Downloading EURUSD=X [1d] from Yahoo Finance
2025-10-19 21:16:47,914 | INFO | __main__ | Starting backtest via CLI
2025-10-19 21:16:47,917 | INFO | __main__ | Paper trading mode enabled: no live broker interactions will be attempted
2025-10-19 21:16:47,917 | INFO | logos.data_loader | Downloading BTC-USD [5m] from Yahoo Finance
2025-10-19 21:16:49,760 | ERROR | yfinance | 
1 Failed download:
